nom_commune;codes_postaux;code_insee;latitude;longitude;éloignement
Lagnieu;1150;1202;45.9;5.35;1.11
Lalleyriat;1130;1204;46.15;5.716667;1.27
Le Montellier;1800;1260;45.933333;5.066667;1.96
Le Poizat;1130;1300;46.15;5.7;1.21
Les Neyrolles;1130;1274;46.133333;5.633333;2
Leyment;1150;1213;45.916667;5.3;1
Leyssard;1450;1214;46.166667;5.466667;1.08
Loyettes;1360;1224;45.766667;5.2;2.27
Maillat;1430;1228;46.133333;5.55;0.83
Martignat;1810;1237;46.216667;5.6;0.87
Matafelon-Granges;1580;1240;46.266667;5.566667;1.26
Mérignat;1450;1242;46.066667;5.433333;1.31
Meximieux;1800;1244;45.9;5.2;1.11
Montluel;1120;1262;45.85;5.05;1.41
Montréal-la-Cluse;1460;1265;;;
Nantua;1130;1269;46.15;5.616667;1.6
Niévroz;1120;1276;45.833333;5.066667;1.51
Nurieux-Volognat;1460;1267;;;
Oyonnax;1100;1283;46.25;5.666667;1.1
Pérouges;1800;1290;45.9;5.183333;1.11
Peyriat;1430;1293;46.15;5.516667;1.35
Pizay;1120;1297;45.883333;5.083333;1.21
Poncin;1450;1303;46.083333;5.4;1.51
Port;1460;1307;46.166667;5.566667;0.76
Rignieux-le-Franc;1800;1325;45.933333;5.183333;0.9
Saint-Alban;1450;1331;46.1;5.45;0.48
Saint-Denis-en-Bugey;1500;1345;45.95;5.333333;0.8
Sainte-Croix;1120;1342;;;
Sainte-Julie;1150;1366;45.883333;5.283333;1.21
Saint-Eloi;1800;1349;45.933333;5.15;0.9
Saint-Jean-de-Niost;1800;1361;45.833333;5.216667;1.51
Saint-Jean-le-Vieux;1640;1363;;;
Saint-Martin-du-Frêne;1430;1373;46.133333;5.55;0.83
Saint-Maurice-de-Gourdans;1800;1378;45.816667;5.2;1.61
Saint-Maurice-de-Rémens;1500;1379;45.95;5.283333;1.6
Saint-Sorlin-en-Bugey;1150;1386;45.883333;5.366667;1.21
Saint-Vulbas;1150;1390;45.833333;5.283333;1.51
Samognat;1580;1392;46.25;5.583333;1.38
Sault-Brénaz;1150;1396;45.85;5.416667;1.41
Serrières-sur-Ain;1450;1404;46.15;5.45;0.68
Sonthonnax-la-Montagne;1580;1410;46.233333;5.533333;0.91
Souclin;1150;1411;45.866667;5.416667;1.31
Vaux-en-Bugey;1150;1431;45.916667;5.35;1
Villebois;1150;1444;45.85;5.433333;1.54
Villieu-Loyes-Mollon;1800;1450;;;
Ambléon;1300;1006;45.75;5.6;2.01
Andert-et-Condon;1300;1009;45.8;5.65;1.71
Anglefort;1350;1010;45.916667;5.808333;-1
Aranc;1110;1012;46;5.5;1.01
Arandas;1230;1013;45.9;5.483333;1.11
Arbignieu;1300;1015;45.733333;5.65;2.11
Argis;1230;1017;45.933333;5.483333;0.9
Armix;1510;1019;45.85;5.583333;1.41
Artemare;1510;1022;45.866667;5.7;1.31
Bellegarde-sur-Valserine;1200;1033;46.1;5.816667;1.61
Belley;1300;1034;45.766667;5.683333;1.91
Belmont-Luthézieu;1260;1036;;;
